code,date,big1000,big400,retail,people
8299,20260918,27.43,38.08,44.84,211581.0
8307,20260918,97.93,99.42,0.23,37.0
8325,20260918,0.0,0.0,87.48,204.0
8329,20260918,87.4,91.01,5.1,3155.0
8341,20260918,46.58,48.64,37.88,18723.0
8342,20260918,66.29,72.31,10.67,1091.0
8345,20260918,73.22,83.48,4.37,796.0
8349,20260918,67.26,71.3,15.44,7652.0
8351,20260918,70.91,72.54,12.0,1048.0
8354,20260918,49.42,65.43,17.4,14474.0
8358,20260918,25.83,34.21,53.59,165545.0
8359,20260918,79.49,83.34,9.65,6005.0
8361,20260918,0.0,0.0,99.98,5.0
8367,20260918,61.38,70.66,14.36,3498.0
8374,20260918,68.36,71.38,22.68,13194.0
8375,20260918,40.34,77.08,10.76,114.0
8380,20260918,0.0,19.39,53.59,881.0
8382,20260918,56.95,66.04,16.24,10346.0
8383,20260918,43.74,51.9,37.19,57098.0
8390,20260918,39.95,46.06,31.53,31433.0
8391,20260918,100.0,100.0,0.0,1.0
8401,20260918,54.53,63.2,20.46,11914.0
8403,20260918,32.26,38.33,40.95,36618.0
8404,20260918,73.47,78.94,10.43,15712.0
8409,20260918,38.72,48.75,27.89,25705.0
8410,20260918,50.7,56.94,24.05,2054.0
8411,20260918,79.51,82.07,9.52,10755.0
8415,20260918,89.38,93.14,3.05,8766.0
8416,20260918,77.13,77.13,14.76,2069.0
8419,20260918,40.55,53.22,32.7,1376.0
8421,20260918,58.74,64.8,21.37,6769.0
8422,20260918,34.46,38.32,47.53,149676.0
8423,20260918,54.6,63.67,19.66,6297.0
8424,20260918,50.7,60.57,27.17,3009.0
8426,20260918,70.26,74.92,15.41,2672.0
8427,20260918,0.0,0.0,99.97,14.0
8429,20260918,38.12,42.25,37.79,45099.0
8431,20260918,16.1,34.0,46.93,44372.0
8432,20260918,56.47,61.5,23.97,3162.0
8433,20260918,60.43,67.53,17.68,3128.0
8435,20260918,20.64,41.14,43.71,22334.0
8436,20260918,25.78,35.16,45.83,46051.0
8437,20260918,28.08,41.89,29.14,32489.0
8438,20260918,65.15,78.35,10.12,2749.0
8440,20260918,29.05,32.67,56.81,55744.0
8442,20260918,61.43,71.68,11.63,1995.0
8443,20260918,60.37,69.55,21.95,46566.0
8444,20260918,77.61,85.93,5.35,1682.0
8446,20260918,42.94,51.3,38.26,7710.0
8450,20260918,56.66,58.33,31.37,10238.0
8452,20260918,100.0,100.0,0.0,1.0
8454,20260918,79.33,81.52,13.81,37951.0
8455,20260918,87.77,89.9,6.22,725.0
8458,20260918,48.85,73.63,6.72,550.0
8462,20260918,58.99,65.64,18.1,6146.0
8463,20260918,76.8,82.47,9.98,3553.0
8464,20260918,77.77,86.54,2.63,3789.0
8465,20260918,41.56,58.22,10.66,232.0
8466,20260918,67.48,77.08,11.73,2134.0
8467,20260918,73.86,81.99,7.62,1676.0
8472,20260918,55.75,63.04,12.64,1020.0
8473,20260918,63.03,65.96,22.39,15080.0
8475,20260918,100.0,100.0,0.0,1.0
8476,20260918,62.18,71.67,14.69,6328.0
8477,20260918,81.6,83.51,9.93,10908.0
8478,20260918,75.66,75.66,18.04,10876.0
8479,20260918,41.51,62.09,10.55,375.0
8481,20260918,53.63,66.51,13.05,2511.0
8482,20260918,90.26,95.14,2.31,1039.0
8485,20260918,0.0,96.18,3.8,61.0
8487,20260918,46.05,55.94,19.62,19468.0
8488,20260918,80.29,86.97,5.42,911.0
8489,20260918,46.06,57.12,24.75,29854.0
8490,20260918,29.07,45.75,15.43,1099.0
8491,20260918,0.0,0.0,70.08,1286.0
8492,20260918,88.34,92.97,3.99,250.0
8495,20260918,91.06,92.59,4.43,855.0
8496,20260918,84.71,87.43,4.35,292.0
8499,20260918,72.65,79.88,11.5,2163.0
8707,20260918,0.0,0.0,59.7,6312.0
8708,20260918,36.7,43.76,36.31,20443.0
8710,20260918,18.25,29.02,37.89,6838.0
8712,20260918,63.8,76.16,5.61,6932.0
8718,20260918,28.34,35.41,44.24,18051.0
8719,20260918,79.45,86.77,5.02,6763.0
