code,quarter,gross,operating,net
2483.TW,2026Q2,14.17,1.38,4.25
2484.TW,2026Q2,24.64,10.26,11.36
2485.TW,2026Q2,18.75,5.6,9.28
2486.TW,2026Q2,21.0,8.05,5.62
2488.TW,2026Q2,22.11,11.38,11.44
2489.TW,2026Q2,8.07,0.78,2.1
2491.TW,2026Q2,21.31,-170.2,3881.96
2492.TW,2026Q2,19.38,9.02,13.36
2493.TW,2026Q2,28.9,17.43,16.79
2495.TW,2026Q2,41.65,14.2,21.26
2496.TW,2026Q2,54.67,15.31,11.27
2497.TW,2026Q2,26.02,8.69,7.88
2498.TW,2026Q2,42.15,-89.63,-41.14
2501.TW,2026Q2,25.04,15.98,13.27
2504.TW,2026Q2,25.75,20.83,17.52
2505.TW,2026Q2,29.85,3.99,20.42
2506.TW,2026Q2,46.37,16.79,16.41
2509.TW,2026Q2,21.92,-48.19,-95.37
2511.TW,2026Q2,29.15,6.15,4.98
2514.TW,2026Q2,12.77,3.05,-5.25
2515.TW,2026Q2,8.32,4.44,3.23
2516.TW,2026Q2,5.49,3.4,4.05
2520.TW,2026Q2,26.22,18.25,14.15
2524.TW,2026Q2,50.66,32.6,17.69
2527.TW,2026Q2,27.41,22.9,21.62
2528.TW,2026Q2,32.71,23.42,17.06
2530.TW,2026Q2,15.05,-19.93,-44.73
2534.TW,2026Q2,72.36,22.89,-17.12
2535.TW,2026Q2,12.18,9.12,12.24
2536.TW,2026Q2,21.36,18.25,14.74
2537.TW,2026Q2,22.77,14.56,8.46
2538.TW,2026Q2,90.66,32.7,-5.88
2539.TW,2026Q2,44.84,40.6,32.96
2540.TW,2026Q2,18.56,2.6,0.4
2542.TW,2026Q2,31.0,24.76,21.09
2543.TW,2026Q2,16.13,12.32,9.35
2545.TW,2026Q2,27.52,12.66,21.69
2546.TW,2026Q2,14.42,12.17,10.31
2547.TW,2026Q2,42.57,17.73,1.03
2548.TW,2026Q2,27.0,20.15,16.53
2597.TW,2026Q2,17.21,13.16,10.82
